Порт «Сфера»
Узел «Омега»
Форпост «Вега»
Колония «Икар»
Станция «Горизонт»
Купол «Гелиос»
Лабиринт «Хронос»
Обитель «Эос»
Цитадель «Арес»
Убежище «Кронос»
Гнездо «Феникс»
Причал «Зенит»
Рудник «Гефест»
Ферма «Деметра»
Лаборатория «Артемида»
Храм «Афина»
База «Одиссей»
Город «Уран»
Склад «Гермес»
Шахта «Плутон»
Док «Тритон»
Платформа «Нептун»
Академия «Прометей»
Святилище «Гестия»
Арка «Янус»
Цикл «Юпитер»
Редут «Марс»
Приют «Веста»
Крепость «Сатурн»
Оракул «Фемида»
Маяк «Сириус»
Ковчег «Ноя»
Гильдия «Вулкан»
Оазис «Церера»
Ковчег «Эдем»
Улей «Афродита»
Арена «Аид»
Рынок «Меркурий»
Мост «Орион»
Шпиль «Альтаир»
Гробница «Тартар»
Предел «Фобос»
Исток «Лето»
Разлом «Хаос»
Призма «Ирида»
Завод «Циклоп»
Пульсар «Дедал»
Врата «Арго»
Сад «Персефона»
Молчание «Хирон»
Вихрь «Эол»
Печать «Пандора»
Кольцо «Титан»
Поток «Лета»
Кристалл «Атлас»
Крест «Кастор»
Чаша «Геба»
Тень «Никта»
Зеркало «Нарцисс»
Коготь «Драко»
Паутина «Арахна»
Сеть «Антей»
Жерло «Тифон»
Рой «Мойры»
Скиния «Селена»
Пламя «Геката»
Пучина «Кето»
Риф «Сцилла»
Зов «Сирена»
Сон «Морфей»
Песня «Муза»
Танец «Терпсихора»
Мгла «Эреб»
Вспышка «Нова»
Туманность «Андромеда»
Сердце «Полярис»
Глаз «Аргус»
Клык «Левиафан»
Плащ «Нибелунг»
Ключ «Энигма»
Часовой «Цербер»
Рассвет «Аврора»
Закат «Геспер»
Тропа «Млечный Путь»
Барьер «Терминус»
Обрыв «Эверест»
Водоворот «Харибда»
Эхо «Нарцисс»
Сфера «Дионис»
Код «Энигма»
Ядро «Галатея»
Луч «Аполлон»
Судно «Аркадия»
Покров «Нептун»
След «Феникс»
Рука «Орион»
Шепот «Эхо»
Каньон «Марс»
Око «Сатурн»
Венец «Солнце»
Рождение «Нова»
Смерть «Черная Дыра»
Тишина «Вакх»
Вектор «Прайм»
Храм «Туманов»
